pid,eid,tag,probe_name,subject,date,session_number,lab,n_good_units,n_trials,n_included_trials,n_channels,overlaps_bwm_ephys,has_local_spike_shard,source_endpoint,alyx_resource,query,source_created_at_utc,source_artifact,bwm_ephys_dataset_version,bwm_ephys_source_freeze,bwm_ephys_good_unit_rule
80624507-4be6-4689-92df-0e2c26c3faf3,028e302c-ff7b-421a-a44f-0df99b5d48fa,RepeatedSite,probe00,,,,,,,,,False,False,https://openalyx.internationalbrainlab.org,insertions,"datasets__tags__name,RepeatedSite",2026-06-12T16:41:47.270589+00:00,projects/nonsense correlations/artifacts/004_repeated_site_pids.csv,1.1.0,2023_12_bwm_release,label >= 1.0
a3d13b05-bf4d-427a-a2d5-2fe050d603ec,03cf52f6-fba6-4743-a42e-dd1ac3072343,RepeatedSite,probe00,CSH_ZAD_011,2020-03-22,1.0,zadorlab,57.0,415.0,308.0,384.0,True,True,https://openalyx.internationalbrainlab.org,insertions,"datasets__tags__name,RepeatedSite",2026-06-12T16:41:47.270589+00:00,projects/nonsense correlations/artifacts/004_repeated_site_pids.csv,1.1.0,2023_12_bwm_release,label >= 1.0
94e948c1-f7be-4868-893a-f7cd2df3313e,03d9a098-07bf-4765-88b7-85f8d8f620cc,RepeatedSite,probe00,UCLA014,2021-08-18,1.0,churchlandlab_ucla,98.0,581.0,372.0,384.0,True,True,https://openalyx.internationalbrainlab.org,insertions,"datasets__tags__name,RepeatedSite",2026-06-12T16:41:47.270589+00:00,projects/nonsense correlations/artifacts/004_repeated_site_pids.csv,1.1.0,2023_12_bwm_release,label >= 1.0
8413c5c6-b42b-4ec6-b751-881a54413628,064a7252-8e10-4ad6-b3fd-7a88a2db5463,RepeatedSite,probe00,,,,,,,,,False,False,https://openalyx.internationalbrainlab.org,insertions,"datasets__tags__name,RepeatedSite",2026-06-12T16:41:47.270589+00:00,projects/nonsense correlations/artifacts/004_repeated_site_pids.csv,1.1.0,2023_12_bwm_release,label >= 1.0
7d999a68-0215-4e45-8e6c-879c6ca2b771,0802ced5-33a3-405e-8336-b65ebc5cb07c,RepeatedSite,probe00,ZFM-02373,2021-06-23,1.0,mainenlab,101.0,424.0,277.0,384.0,True,True,https://openalyx.internationalbrainlab.org,insertions,"datasets__tags__name,RepeatedSite",2026-06-12T16:41:47.270589+00:00,projects/nonsense correlations/artifacts/004_repeated_site_pids.csv,1.1.0,2023_12_bwm_release,label >= 1.0
c6e294f7-5421-4697-8618-8ccc9b0269f6,0841d188-8ef2-4f20-9828-76a94d5343a4,RepeatedSite,probe00,UCLA049,2022-08-02,1.0,churchlandlab_ucla,46.0,505.0,289.0,384.0,True,True,https://openalyx.internationalbrainlab.org,insertions,"datasets__tags__name,RepeatedSite",2026-06-12T16:41:47.270589+00:00,projects/nonsense correlations/artifacts/004_repeated_site_pids.csv,1.1.0,2023_12_bwm_release,label >= 1.0
16799c7a-e395-435d-a4c4-a678007e1550,0a018f12-ee06-4b11-97aa-bbbff5448e9f,RepeatedSite,probe00,KS051,2021-05-11,1.0,cortexlab,126.0,478.0,309.0,384.0,True,True,https://openalyx.internationalbrainlab.org,insertions,"datasets__tags__name,RepeatedSite",2026-06-12T16:41:47.270589+00:00,projects/nonsense correlations/artifacts/004_repeated_site_pids.csv,1.1.0,2023_12_bwm_release,label >= 1.0
3d3d5a5e-df26-43ee-80b6-2d72d85668a5,0c828385-6dd6-4842-a702-c5075f5f5e81,RepeatedSite,probe00,UCLA015,2022-03-31,1.0,churchlandlab_ucla,133.0,610.0,472.0,384.0,True,True,https://openalyx.internationalbrainlab.org,insertions,"datasets__tags__name,RepeatedSite",2026-06-12T16:41:47.270589+00:00,projects/nonsense correlations/artifacts/004_repeated_site_pids.csv,1.1.0,2023_12_bwm_release,label >= 1.0
1f3d3fcb-f188-47a2-87e5-ac1db6cf393a,0cad7ea8-8e6c-4ad1-a5c5-53fbb2df1a63,RepeatedSite,probe01,,,,,,,,,False,False,https://openalyx.internationalbrainlab.org,insertions,"datasets__tags__name,RepeatedSite",2026-06-12T16:41:47.270589+00:00,projects/nonsense correlations/artifacts/004_repeated_site_pids.csv,1.1.0,2023_12_bwm_release,label >= 1.0
27bac116-ea57-4512-ad35-714a62d259cd,111c1762-7908-47e0-9f40-2f2ee55b6505,RepeatedSite,probe00,UCLA033,2022-02-15,1.0,churchlandlab_ucla,138.0,724.0,364.0,384.0,True,True,https://openalyx.internationalbrainlab.org,insertions,"datasets__tags__name,RepeatedSite",2026-06-12T16:41:47.270589+00:00,projects/nonsense correlations/artifacts/004_repeated_site_pids.csv,1.1.0,2023_12_bwm_release,label >= 1.0
